model,method,image,deletion_auc,insertion_auc
resnet18,gradcam++,7001-2.jpg,0.23100237548351288,0.827955961227417
resnet18,gradcam++,7001-26.jpg,0.11758164316415787,0.8023803234100342
resnet18,gradcam++,7002-33.jpg,0.2066098302602768,0.8808268308639526
resnet18,gradcam++,7002-48.jpg,0.308421790599823,0.9281983971595764
resnet18,gradcam++,7004-143.jpg,0.34085792303085327,0.9238726496696472
resnet18,gradcam++,7004-197.jpg,0.2113465964794159,0.8234310746192932
resnet18,gradcam++,7004-92.jpg,0.11201175302267075,0.8346450924873352
resnet18,gradcam++,7005-119.jpg,0.1707506626844406,0.870337188243866
resnet18,gradcam++,7005-78.jpg,0.3222391903400421,0.9027620553970337
resnet18,gradcam++,7006-134.jpg,0.2987719774246216,0.9582756161689758
resnet18,gradcam++,7006-154.jpg,0.27121448516845703,0.8672792315483093
resnet18,gradcam++,7006-73.jpg,0.2642863094806671,0.9302775263786316
resnet18,gradcam++,7006-77.jpg,0.38025960326194763,0.9645064473152161
resnet18,gradcam++,7006-96.jpg,0.26957589387893677,0.8857548832893372
resnet18,gradcam++,7007-186.jpg,0.17337632179260254,0.8925893902778625
resnet18,gradcam++,7008-56.jpg,0.32147806882858276,0.9543827176094055
resnet18,gradcam++,7009-114.jpg,0.5278996825218201,0.928217887878418
resnet18,gradcam++,7009-2.jpg,0.12612195312976837,0.46006256341934204
resnet18,gradcam++,7009-202.jpg,0.21653662621974945,0.9152379631996155
resnet18,gradcam++,7009-47.jpg,0.3059139847755432,0.9356616139411926
resnet18,gradcam++,7009-75.jpg,0.2573746144771576,0.884495735168457
resnet18,gradcam++,7009-95.jpg,0.11286304891109467,0.9647014737129211
resnet18,gradcam++,7010-227.jpg,0.2914505898952484,0.804947018623352
resnet18,gradcam++,7010-62.jpg,0.293317049741745,0.8913148045539856
resnet18,gradcam++,7010-82.jpg,0.12212786078453064,0.8445296287536621
resnet18,gradcam++,7010-96.jpg,0.3930484354496002,0.877623975276947
resnet18,gradcam++,7010-97.jpg,0.15771298110485077,0.7231895923614502
resnet18,gradcam++,7011-134.jpg,0.17061986029148102,0.8697308301925659
resnet18,gradcam++,7011-142.jpg,0.05758511647582054,0.758281946182251
resnet18,gradcam++,7011-143.jpg,0.17849165201187134,0.8138142228126526
resnet18,gradcam++,7011-171.jpg,0.05860785394906998,0.8870202898979187
resnet18,gradcam++,7011-18.jpg,0.13710932433605194,0.9186809062957764
resnet18,gradcam++,7011-192.jpg,0.4324001967906952,0.855864942073822
resnet18,gradcam++,7011-204.jpg,0.3505775034427643,0.9448947310447693
resnet18,gradcam++,7011-25.jpg,0.18694792687892914,0.9002400040626526
resnet18,gradcam++,7012-103.jpg,0.08910487592220306,0.8220533728599548
resnet18,gradcam++,7012-119.jpg,0.2787478268146515,0.8881931900978088
resnet18,gradcam++,7012-128.jpg,0.04711414501070976,0.8330718278884888
resnet18,gradcam++,7012-13.jpg,0.17661888897418976,0.8919973373413086
resnet18,gradcam++,7012-49.jpg,0.28815189003944397,0.8591326475143433
resnet18,gradcam++,7012-67.jpg,0.2267322838306427,0.8706566691398621
resnet18,gradcam++,7013-150.jpg,0.2986704111099243,0.8849014043807983
resnet18,gradcam++,7013-184.jpg,0.28922200202941895,0.9298022985458374
resnet18,gradcam++,7013-81.jpg,0.17023320496082306,0.8383009433746338
resnet18,gradcam++,7013-99.jpg,0.21567586064338684,0.8939799666404724
resnet18,gradcam++,7014-222.jpg,0.2209455966949463,0.8659381866455078
resnet18,gradcam++,7016-136.jpg,0.27469268441200256,0.8840911984443665
resnet18,gradcam++,7016-204.jpg,0.19436292350292206,0.48468145728111267
resnet18,gradcam++,7016-65.jpg,0.39644813537597656,0.9341670870780945
resnet18,gradcam++,7017-130.jpg,0.2758903503417969,0.6840777397155762
resnet18,gradcam++,7017-190.jpg,0.259403795003891,0.4446546733379364
resnet18,gradcam++,7017-4.jpg,0.3089078664779663,0.7051485776901245
resnet18,gradcam++,7017-61.jpg,0.33339646458625793,0.8025044798851013
resnet18,gradcam++,7017-8.jpg,0.05988521873950958,0.8720858097076416
resnet18,gradcam++,7018-177.jpg,0.18961001932621002,0.8057271838188171
resnet18,gradcam++,7018-26.jpg,0.30170682072639465,0.7876278758049011
resnet18,gradcam++,7018-65.jpg,0.05640584975481033,0.7794609069824219
resnet18,gradcam++,7019-191.jpg,0.20748721063137054,0.7477453947067261
resnet18,gradcam++,7019-2.jpg,0.13879480957984924,0.603786289691925
resnet18,gradcam++,7019-210.jpg,0.33066311478614807,0.7699671983718872
resnet18,gradcam++,7019-40.jpg,0.2334197461605072,0.8717041015625
resnet18,gradcam++,7019-73.jpg,0.20975978672504425,0.8116499781608582
resnet18,gradcam++,7020-141.jpg,0.21570420265197754,0.900830090045929
resnet18,gradcam++,7020-143.jpg,0.16541394591331482,0.766907811164856
resnet18,gradcam++,7020-147.jpg,0.24716465175151825,0.8449963331222534
resnet18,gradcam++,7020-162.jpg,0.30660319328308105,0.8114349842071533
resnet18,gradcam++,7020-170.jpg,0.10520410537719727,0.6326431035995483
resnet18,gradcam++,7020-26.jpg,0.30090951919555664,0.8729865550994873
resnet18,gradcam++,7021-11.jpg,0.16459976136684418,0.7862149477005005
resnet18,gradcam++,7021-133.jpg,0.45580387115478516,0.8220914602279663
resnet18,gradcam++,7021-149.jpg,0.19788530468940735,0.8815045952796936
resnet18,gradcam++,7021-150.jpg,0.1315089464187622,0.9063807725906372
resnet18,gradcam++,7021-151.jpg,0.2977416217327118,0.857466459274292
resnet18,gradcam++,7021-165.jpg,0.16022229194641113,0.6942621469497681
resnet18,gradcam++,7021-174.jpg,0.17093725502490997,0.6589218974113464
resnet18,gradcam++,7021-207.jpg,0.32923364639282227,0.8488040566444397
resnet18,gradcam++,7021-237.jpg,0.24983471632003784,0.7116186618804932
