model,method,idx,pointing_hit,energy_inside
resnet18,gradcam++,0,1.0,0.24171163141727448
resnet18,gradcam++,1,0.0,0.09737537801265717
resnet18,gradcam++,2,0.0,0.06128391623497009
resnet18,gradcam++,3,1.0,0.30675989389419556
resnet18,gradcam++,4,1.0,0.3169194757938385
resnet18,gradcam++,5,1.0,0.16874636709690094
resnet18,gradcam++,6,1.0,0.3089694082736969
resnet18,gradcam++,7,0.0,0.27590516209602356
resnet18,gradcam++,8,1.0,0.29714563488960266
resnet18,gradcam++,9,0.0,0.29821348190307617
resnet18,gradcam++,10,1.0,0.30779165029525757
resnet18,gradcam++,11,0.0,0.3415556848049164
resnet18,gradcam++,12,0.0,0.18965046107769012
resnet18,gradcam++,13,1.0,0.20799021422863007
resnet18,gradcam++,14,1.0,0.3263084590435028
resnet18,gradcam++,15,1.0,0.26579397916793823
resnet18,gradcam++,16,0.0,0.29833245277404785
resnet18,gradcam++,17,0.0,0.20215922594070435
resnet18,gradcam++,18,1.0,0.286417156457901
resnet18,gradcam++,19,1.0,0.2518298029899597
resnet18,gradcam++,20,0.0,0.2878476083278656
resnet18,gradcam++,21,0.0,0.12058448046445847
resnet18,gradcam++,22,0.0,0.13376714289188385
resnet18,gradcam++,23,0.0,0.15463370084762573
resnet18,gradcam++,24,0.0,0.07632921636104584
resnet18,gradcam++,25,1.0,0.17510654032230377
resnet18,gradcam++,26,1.0,0.16533850133419037
resnet18,gradcam++,27,1.0,0.2531071603298187
resnet18,gradcam++,28,0.0,0.2305896282196045
resnet18,gradcam++,29,1.0,0.3182767331600189
resnet18,gradcam++,30,0.0,0.2670400142669678
resnet18,gradcam++,31,0.0,0.19532063603401184
resnet18,gradcam++,32,0.0,0.20345956087112427
resnet18,gradcam++,33,1.0,0.18348857760429382
resnet18,gradcam++,34,1.0,0.19686062633991241
resnet18,gradcam++,35,1.0,0.2323603481054306
resnet18,gradcam++,36,0.0,0.4503867030143738
resnet18,gradcam++,37,1.0,0.47531944513320923
resnet18,gradcam++,38,0.0,0.3477422297000885
resnet18,gradcam++,39,1.0,0.32629305124282837
resnet18,gradcam++,40,0.0,0.28271758556365967
resnet18,gradcam++,41,1.0,0.33616888523101807
resnet18,gradcam++,42,1.0,0.4025403559207916
resnet18,gradcam++,43,1.0,0.3999786078929901
resnet18,gradcam++,44,0.0,0.34385475516319275
resnet18,gradcam++,45,1.0,0.271160364151001
resnet18,gradcam++,46,1.0,0.3302547037601471
resnet18,gradcam++,47,0.0,0.31318411231040955
resnet18,gradcam++,48,0.0,0.34951385855674744
resnet18,gradcam++,49,1.0,0.2554938495159149
resnet18,gradcam++,50,0.0,0.31477656960487366
resnet18,gradcam++,51,0.0,0.3521951735019684
resnet18,gradcam++,52,0.0,0.45623859763145447
resnet18,gradcam++,53,1.0,0.3655591905117035
resnet18,gradcam++,54,0.0,0.19848789274692535
resnet18,gradcam++,55,0.0,0.44305703043937683
resnet18,gradcam++,56,0.0,0.36508241295814514
resnet18,gradcam++,57,0.0,0.32131001353263855
resnet18,gradcam++,58,0.0,0.1334633231163025
resnet18,gradcam++,59,1.0,0.33208370208740234
resnet18,gradcam++,60,1.0,0.27937448024749756
resnet18,gradcam++,61,1.0,0.27431538701057434
resnet18,gradcam++,62,1.0,0.27541109919548035
resnet18,gradcam++,63,1.0,0.3040882349014282
resnet18,gradcam++,64,1.0,0.4094286262989044
resnet18,gradcam++,65,1.0,0.3659016489982605
resnet18,gradcam++,66,0.0,0.3521793782711029
